university,country,city,language,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,location,latitude,longitude
Ca' Foscari University of Venice,Italy,Venice,English,15.58,0.36,5.82,38.43,1.64,278.98,30.64,12.46,688.14,623.22,4.93,1.6099999999999999,2.52,1.505,"(45.4371908, 12.3345898)",45.4371908,12.3345898
University of Siena,Italy,Siena,English,15.58,0.33,5.71,37.91,2.08,320.7,31.89,8.31,744.4,675.15,5.19,1.585,2.5999999999999996,2.075,"(43.1672254, 11.467181161339118)",43.1672254,11.467181161339118
University of Verona,Italy,Verona,English,15.58,0.3,6.13,38.43,1.3,160.44,28.34,10.34,813.65,536.66,4.415,1.45,2.1675,1.4649999999999999,"(45.4384958, 10.9924122)",45.4384958,10.9924122
University of Pisa,Italy,Pisa,English,12.46,0.37,5.92,33.24,2.08,212.77,29.08,8.83,571.28,558.3,5.19,1.95,2.18,2.1500000000000004,"(43.7159395, 10.4018624)",43.7159395,10.4018624
University of Trento,Italy,Trento,English,14.54,0.42,6.23,34.07,2.08,163.75,32.33,9.35,727.09,545.32,5.19,1.48,1.9075000000000002,1.255,"(46.1029536, 11.12974249416882)",46.1029536,11.12974249416882
University of Trieste,Italy,Trieste,English,15.58,0.58,6.02,37.13,1.25,206.26,32.87,10.39,597.25,547.91,4.41,1.875,2.2075,1.855,"(45.6496485, 13.7772781)",45.6496485,13.7772781
University of Catania,Italy,Catania,English,12.46,0.36,5.97,31.16,1.04,174.84,28.97,8.57,498.57,346.23,3.895,1.635,1.6325,1.2850000000000001,"(37.5023612, 15.0873718)",37.5023612,15.0873718
Sapienza University of Rome,Italy,Rome,English,16.1,0.53,6.23,36.35,1.14,194.77,28.84,9.35,1055.02,717.64,5.19,1.8849999999999998,2.3225,1.565,"(41.8933203, 12.4829321)",41.8933203,12.4829321
University of Wuppertal ,Germany,Wuppertal,English,13.5,0.34,7.95,73.75,1.92,198.89,35.05,9.87,363.54,388.13,3.38,1.155,2.1624999999999996,1.11,"(51.264018, 7.1780374)",51.264018,7.1780374
Trier University,Germany,Trier,English,10.39,0.46,7.27,83.1,1.97,245.95,29.68,10.39,830.96,643.99,3.64,0.9450000000000001,1.7000000000000002,1.11,"(49.7596208, 6.6441878)",49.7596208,6.6441878
University of Potsdam,Germany,Potsdam,English,10.39,0.41,7.48,44.66,2.18,195.37,32.43,10.39,1038.7,597.25,3.64,0.9,1.5975,1.25,"(52.4009309, 13.0591397)",52.4009309,13.0591397
RWTH Aachen University,Germany,Aachen,English,10.39,0.5,7.89,72.71,1.97,245.95,29.68,10.39,632.39,437.48,3.64,0.9750000000000001,1.76,1.515,"(50.776351, 6.083862)",50.776351,6.083862
Offenburg University of Applied Sciences,Germany,Offenburg,English,10.39,1.1,8.31,,,155.8,46.22,10.91,779.02,623.22,4.050000000000001,1.6400000000000001,2.49,1.94,"(48.4716556, 7.944378)",48.4716556,7.944378
Otto von Guericke University Magdeburg,Germany,Magdeburg,English,12.46,0.57,6.96,67.52,1.97,302.6,34.51,10.13,446.64,384.32,4.025,0.965,1.7299999999999998,1.025,"(52.1315889, 11.6399609)",52.1315889,11.6399609
Hamburg University of Technology,Germany,Hamburg,English,14.02,0.7,7.27,95.56,2.31,283.04,37.21,15.58,1107.94,832.6,4.41,1.055,2.2649999999999997,1.2,"(53.550341, 10.000654)",53.550341,10.000654
TH Köln (University of Applied Sciences),Germany,Gummersbach,English,12.46,,,77.9,,,,,,,3.12,,2.08,,"(51.0277658, 7.5630545)",51.0277658,7.5630545
Brandenburg University of Technology Cottbus-Senftenberg,Germany,Cottbus,English,8.83,0.2,7.27,42.43,2.49,285.64,38.09,12.31,445.29,283.15,3.12,1.15,1.735,0.9,"(51.7567447, 14.3357307)",51.7567447,14.3357307
University of Bayreuth,Germany,Bayreuth,English,12.46,0.51,8.31,48.3,2.29,290.84,48.47,12.46,640.53,616.73,3.38,1.105,2.0325,1.16,"(49.9427202, 11.5763079)",49.9427202,11.5763079
