university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
North Dakota State University,Fargo,United States,12,2.88,6,42,1.42,154.44,65.5,11.32,1112.5,783.12,5.125,4.135,4.8275,3.77,46.877229,-96.789821
Northeastern University China,Shenyang,China,2.79,0.6,3.49,11.17,0.28,58.7,15.36,4.54,279.36,153.65,1.015,1.34,1.435,0.99,41.8026095,123.4279105
Universidad Politécnica de Madrid,Madrid,Spain,12.46,0.72,5.19,56.66,1.14,163.71,37.21,9.35,1041.06,827.49,3.64,1.305,1.895,1.325,40.4167047,-3.7035825
Shenzhen University,Shenzhen,China,4.19,0.54,3.49,34.92,0.36,66.36,17.87,6.98,724.86,426.89,2.515,1.15,1.6425,1.09,22.5445741,114.0545429
Tongji University,Shanghai,China,5.59,0.62,3.49,27.94,0.42,64.76,16.74,8.38,1080.07,564.3,2.655,1.42,1.8375,0.92,31.2323437,121.4691024
University of Electronic Science and Technology of China,Chengdu,China,2.79,0.61,2.86,26.11,0.28,35.09,11.55,5.59,430.68,251.42,1.955,1.44,1.41,0.755,30.6598628,104.0633717
University of Porto,Porto,Portugal,9.35,0.54,5.4,41.55,0.73,118.07,35.29,7.27,778.89,614.45,2.13,1.53,1.5775,1.235,41.1494512,-8.6107884
University of Tennessee Knoxville,Knoxville,United States,14,1.33,6,60.11,1.24,193.04,65.4,12,1164.29,911.11,4.75,1.945,3.3575,2.47,35.9603948,-83.9210261
Beijing Jiaotong University,Beijing,China,4.19,0.63,4.19,41.9,0.42,53.68,20.28,8.38,1176.59,660.6,2.725,1.705,1.7875,0.925,39.906217,116.3912757
Carleton University,Ottawa,Canada,18.61,1.51,11.17,92.14,1.38,121.58,59.34,11.17,1271.09,1005.11,5.585,2.265,2.75,1.73,45.4208777,-75.6901106
De Montfort University,Leicester,United Kingdom,16.22,1.09,13.21,64.86,1.31,220.46,36.64,12.01,900.88,686.17,5.26,2.225,1.6725,1.03,52.6362,-1.1331969
Illinois Institute of Technology,Chicago,United States,20,2.02,15,90,2.11,163.78,63.93,15,1969.12,1436.82,6,3.22,3.415,1.99,41.8755616,-87.6244212
Leiden University,Leiden,Netherlands,15.58,0.65,8.31,51.93,2.19,174.82,50.75,12.46,1285.46,1103.62,4.67,1.54,2.0525,1.015,52.1594747,4.4908843
Nanjing University of Science and Technology,Nanjing,China,3.07,0.52,3.49,15.18,0.42,55.48,6.56,6.7,497.25,293.32,1.14,1.17,1.5825,1.085,32.0615513,118.7915619
National Technical University of Athens,Athens,Greece,12.46,0.88,4.78,31.16,0.83,261.34,31.74,8.31,508.7,453.9,4.67,1.895,1.7325,1,37.9839412,23.7283052
Northwestern University,Evanston,United States,16.5,1.99,14,88,1.37,95.44,108.5,15,1656.67,1233.33,8.25,2.32,4.6,4.6,42.0447388,-87.6930459
South China University of Technology,Guangzhou,China,4.05,0.5,3.63,27.94,0.36,56.19,16.34,8.38,523.26,311.48,1.26,1.475,1.615,0.85,23.1301964,113.2592945
University at Buffalo SUNY - School of Engineering and Applied Sciences,Buffalo,United States,15,2.07,10,75,1.86,177.81,73.5,15,1388.33,1008.33,5.5,3.19,5.0925,3,42.8867166,-78.8783922
University of Nebraska-Lincoln,Lincoln,United States,18,1.93,6.81,20,1.18,98.32,68.38,10,975,912.5,4.5,2.18,2.9075,2.2,40.8088861,-96.7077751
University of Victoria,Victoria,Canada,18.61,1.92,12.47,63.28,1.49,97.88,71.47,10.78,1495.66,1195.92,5.96,2.635,3.1825,2.41,48.4283182,-123.3649533
University of Western Ontario,London,United Kingdom,18.02,1.38,15.62,180.18,2.04,288.5,35.29,15.62,2311.99,1669.19,6.55,2.565,2.2525,1.39,51.5073359,-0.12765
Amirkabir University of Technology,Tehran,Iran,4,0.31,3,15,0.36,21.13,13.79,1.5,539.97,415.02,1.41,0.875,1.085,0.555,35.6892523,51.3896004
Boston University,Boston,United States,20,2.17,13,90,1.86,175.95,60.18,15,2691.67,1959.38,7.5,2.73,4.235,2.95,42.3554334,-71.060511
China University of Geosciences Wuhan,Wuhan,China,3.49,0.58,2.79,41.9,0.27,39.7,14.43,5.1,343.61,174.6,1.805,1.245,1.505,1.025,30.5951051,114.2999353
Chongqing University,Chongqing,China,2.79,0.53,3.49,55.87,0.35,45.06,10.71,4.89,268.18,164.12,1.815,1.36,1.325,0.91,29.5656729,106.5479189
Claude Bernard Lyon 1 University,Lyon,France,15.58,0.97,10.91,68.76,1.6,181.84,38.34,12.93,825.11,599.91,6.36,2.355,3.1275,1.815,45.7578137,4.8320114
Duke University,Durham,United States,15,1.91,7.49,36,1.4,135.87,65,12,1550,1366.67,5.25,2.37,3.745,2.595,35.996653,-78.9018053
Hunan University of Arts & Science (Changde University),Changde,China,2.79,0.42,2.79,,0.28,82.93,18.79,4.19,,,1.295,1.465,2.4275,1.815,29.034552,111.6928724
"Grenoble INP, Graduate schools of Engineering and Management Université Grenoble Alpes",Grenoble,France,13.5,1.04,10.39,62.32,1.93,165.77,33.47,10.91,617.45,498.57,5.19,2.34,2.395,1.785,45.1875602,5.7357819
Johns Hopkins University,Baltimore,United States,14.5,2.54,9.99,74,2.49,153.94,74.33,12,1559.96,1350,6.75,2.71,4.1925,2.99,39.2908816,-76.610759
Kyung Hee Cyber University,Seoul,South Korea,7.16,1.06,3.39,41.47,0.9,176.24,22.06,9.42,809.83,583.6,3.77,2.295,5.8125,3.335,37.5666791,126.9782914
Toulouse III - Université Paul Sabatier,Toulouse,France,16.88,0.82,10.59,56.09,2.08,182.4,33.58,10.39,694.2,549.21,5.71,2.205,3.0525,1.63,43.6044622,1.4442469
Shandong University,Jinan,China,2.79,0.56,2.79,5.59,0.21,66.49,7.96,5.24,285.54,212.46,1.54,1.085,1.0325,0.36,36.6507007,117.1140042
IMT Atlantique - Graduate Engineering School,Nantes,France,13.5,0.41,10.59,57.13,0.85,173.06,34.05,11.43,606.15,536.23,5.45,2.145,2.64,2.14,47.2186371,-1.5541362
Telecom SudParis,Paris,France,15.58,0.83,10.91,77.9,1.9,197.79,30.52,12.46,1325.47,978.26,6.75,2.53,2.8775,2.155,48.8534951,2.3483915
The University of Texas at Arlington,Arlington,United States,17,1.66,8,90,1.34,148.98,65.56,15,2200,1768.33,7.5,1.92,4.13,2.485,32.7355816,-97.1071186
Tianjin University,Tianjin,China,4.19,0.66,2.86,15.49,0.31,75.2,10.87,6.98,384.12,270.05,1.75,1.225,1.2525,0.73,39.084802,117.1959904
UNICAMP - University of Campinas,Campinas,Brazil,5.59,0.5,1.86,50.31,0.72,67.41,18.3,7.45,328.42,219.46,1.58,1.71,1.025,0.775,-22.90556,-47.06083
University of Florence,Florence,Italy,15.58,0.61,6.23,36.35,1.3,223.83,30.47,8.83,842.5,642.69,4.67,1.76,2.3775,1.49,43.7698712,11.2555757
University of Ljubljana,Ljubljana,Slovenia,10.39,0.74,4.67,38.43,1.09,246.17,34.38,8.31,695.79,559.26,3.12,1.56,2.065,1.095,46.0500268,14.5069289
University of Manitoba,Winnipeg,Canada,14.89,1.64,13.4,77.43,1.19,147.84,60.96,10.42,821.5,833.45,4.84,2.98,3.005,2.375,49.8955367,-97.1384584
University of Maribor,Maribor,Slovenia,8.31,0.62,4.62,30.12,1.04,215.02,34.11,7.27,402.49,367.44,2.75,1.57,1.885,1.265,46.5576439,15.6455854
The University of Milan,Sesto San Giovanni,Italy,9.87,0.21,5.71,,,207.74,31.16,6.23,,,3.895,3.635,1.9225,1.04,45.5357218,9.2376549
University of Modena and Reggio Emilia - UNIMORE,Modena,Italy,15.58,0.4,5.79,32.72,1.14,199.95,28.04,9.35,623.22,519.35,5.19,1.4,2.165,1.525,44.5384728,10.93596087
University of Montpellier,Montpellier,France,13.5,0.65,10.39,31.16,1.46,142.79,36.35,12.46,733.93,600.14,4.8,2.565,2.615,1.645,43.6112422,3.8767337
University of Naples Federico II,Naples,Italy,15.58,0.63,6.23,39.47,1.25,150.69,30.04,9.35,657.84,398.17,3.895,2.015,1.9175,1.28,40.8358846,14.2487679
University of Seville,Sevilla,Spain,10.39,0.6,5.4,36.51,1.01,119.27,36.54,8.31,664.55,464.26,2.6,1.385,2.1475,1.51,37.3886303,-5.9953403
Vrije Universiteit Brussel (VUB),Brussels,Belgium,15.58,0.98,7.79,51.93,2.08,206.48,50.69,12.39,963.92,804.19,5.06,2.73,2.265,1.335,50.8465573,4.351697
West Virginia University,Morgantown,United States,20,1.5,9,30,1.24,99.47,80,16,1100,900,5.5,4.5,2.87,2.19,39.6296809,-79.9559437
