keys,max,min,avg
meal_inexpensive_restaurant,35,1.27,13.15619048
water,3.47,0.21,1.148589744
cigarettes,26.82,1.11,8.490160256
monthly_pass,210,0,57.70899666
taxi,4.23,0.14,1.492927632
basic,326.82,12.37,163.6690735
internet,142,6.56,43.16575949
cinema,21.14,1.5,10.80258786
appartment_centre,3500,99.88,1023.496122
appartment_outside_centre,2390.62,70.5,785.8364194
beer_restaurant,9.725,1.015,4.660463259
beer_market,5.675,0.81,2.236720257
fruits,10.555,0.6425,2.695889423
vegetables,7.545,0.305,1.780990415
